ID_RRES_v5,Module
FGRAMPH1_01T01271,F03
FGRAMPH1_01T01273,F06
FGRAMPH1_01T01275,F03
FGRAMPH1_01T01277,F02
FGRAMPH1_01T01279,F02
FGRAMPH1_01T01281,F09
FGRAMPH1_01T01285,F07
FGRAMPH1_01T01289,F01
FGRAMPH1_01T01291,F01
FGRAMPH1_01T01295,F09
FGRAMPH1_01T01297,F11
FGRAMPH1_01T01299,F01
FGRAMPH1_01T01301,F08
FGRAMPH1_01T01305,F02
FGRAMPH1_01T01307,F18
FGRAMPH1_01T01309,F01
FGRAMPH1_01T01311,F01
FGRAMPH1_01T01317,F01
FGRAMPH1_01T01319,F03
FGRAMPH1_01T01321,F05
FGRAMPH1_01T01323,F07
FGRAMPH1_01T01327,F01
FGRAMPH1_01T01331,F04
FGRAMPH1_01T01333,F12
FGRAMPH1_01T01337,F04
FGRAMPH1_01T01339,F02
FGRAMPH1_01T01341,F01
FGRAMPH1_01T01343,F06
FGRAMPH1_01T01345,F01
FGRAMPH1_01T01349,F04
FGRAMPH1_01T01351,F01
FGRAMPH1_01T01353,F02
FGRAMPH1_01T01355,F02
FGRAMPH1_01T01357,F02
FGRAMPH1_01T01361,F01
FGRAMPH1_01T01363,F01
FGRAMPH1_01T01365,F05
FGRAMPH1_01T01367,F04
FGRAMPH1_01T01369,F02
FGRAMPH1_01T01371,F01
FGRAMPH1_01T01373,F02
FGRAMPH1_01T01375,F01
FGRAMPH1_01T01377,F06
FGRAMPH1_01T01381,F01
FGRAMPH1_01T01383,F01
FGRAMPH1_01T01385,F11
FGRAMPH1_01T01387,F06
FGRAMPH1_01T01389,F02
FGRAMPH1_01T01393,F01
FGRAMPH1_01T01397,F13
FGRAMPH1_01T01399,F01
FGRAMPH1_01T01401,F14
FGRAMPH1_01T01403,F01
FGRAMPH1_01T01405,F02
FGRAMPH1_01T01407,F01
FGRAMPH1_01T01411,F09
FGRAMPH1_01T01413,F07
FGRAMPH1_01T01415,F08
FGRAMPH1_01T01417,F06
FGRAMPH1_01T01419,F03
FGRAMPH1_01T01421,F05
FGRAMPH1_01T01423,F11
FGRAMPH1_01T01427,F01
FGRAMPH1_01T01429,F08
