,logFC,logCPM,PValue,FDR
FGRAMPH1_01T08891,2.805115982,2.680553307,2.04E-13,1.92E-12
FGRAMPH1_01T08895,9.746068752,7.96227114,4.94E-30,1.47E-28
FGRAMPH1_01T08907,10.1210099,6.849584661,1.03E-21,1.76E-20
FGRAMPH1_01T08909,9.288190954,7.957222267,1.92E-42,1.37E-40
FGRAMPH1_01T08913,6.374271174,6.319247925,1.77E-29,5.00E-28
FGRAMPH1_01T08915,-1.356985761,4.844054937,0.000285558,0.000912023
FGRAMPH1_01T08919,-2.175500776,0.541493406,0.000738472,0.002171011
FGRAMPH1_01T08925,2.073162599,0.574356784,0.020109506,0.04054061
FGRAMPH1_01T08929,2.169580817,1.330353072,0.001437876,0.003952838
FGRAMPH1_01T08931,9.636700978,6.827579886,2.42E-46,2.39E-44
FGRAMPH1_01T08933,7.741956439,4.771064111,1.40E-30,4.37E-29
FGRAMPH1_01T08935,7.000446891,8.365052095,1.24E-68,6.17E-66
FGRAMPH1_01T08955,-3.034596481,2.076232952,2.03E-05,8.01E-05
FGRAMPH1_01T08961,-2.33109506,5.071459147,3.92E-05,0.000146724
FGRAMPH1_01T08973,9.140937683,8.374855611,6.65E-30,1.93E-28
FGRAMPH1_01T08983,5.665248078,2.914079682,0.000703533,0.002075878
FGRAMPH1_01T08995,10.92384449,6.956489303,1.72E-43,1.37E-41
FGRAMPH1_01T08997,9.595416858,8.980925207,5.57E-49,6.70E-47
FGRAMPH1_01T09003,7.014273388,1.7430132,2.60E-06,1.17E-05
FGRAMPH1_01T09005,3.229312809,2.357548228,9.52E-08,5.16E-07
FGRAMPH1_01T09007,5.747449317,2.398798096,7.44E-10,5.05E-09
FGRAMPH1_01T09019,2.786753749,4.065046475,8.17E-07,3.93E-06
FGRAMPH1_01T09021,4.081084677,0.958192494,7.41E-06,3.12E-05
FGRAMPH1_01T09023,2.910211747,2.556320538,1.00E-07,5.41E-07
FGRAMPH1_01T09025,6.408489292,9.693233735,2.80E-17,3.60E-16
FGRAMPH1_01T09029,-1.297005751,2.692549455,0.000605463,0.001809988
FGRAMPH1_01T09031,1.922037823,6.438585012,5.84E-06,2.49E-05
FGRAMPH1_01T09033,2.968271185,2.843380574,2.64E-05,0.00010188
FGRAMPH1_01T09035,-2.3200364,5.55589519,2.21E-12,1.89E-11
FGRAMPH1_01T09047,5.705342831,2.881407777,3.34E-09,2.11E-08
FGRAMPH1_01T09057,-4.138043254,3.907652892,1.62E-09,1.06E-08
FGRAMPH1_01T09059,2.621642219,1.340176728,0.001178489,0.003304885
FGRAMPH1_01T09065,1.103629774,9.205656165,0.002925263,0.007454219
FGRAMPH1_01T09067,6.941232005,9.736268202,1.19E-44,1.05E-42
FGRAMPH1_01T09069,4.202254777,4.700463863,4.22E-14,4.21E-13
FGRAMPH1_01T09071,9.31090428,11.40758708,2.59E-52,3.76E-50
FGRAMPH1_01T09073,8.569587859,9.137978946,8.62E-41,5.27E-39
FGRAMPH1_01T09075,11.71391263,9.740731777,1.91E-65,6.43E-63
